id,content,time,is_anonymous,is_pinned,like_count,written_by_id,written_for_id
6,Yearbook OP bachcha :),2023-06-10 12:42:49.827994,0,0,4,15,7
7,Yearbook OP bachcha :),2023-06-02 09:41:48.935703,0,0,2,15,6
